                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3889,                0.79145,                 1.5924,                0.88586,                0.62909,                0.70485,                0.38829,                 1.7044,                 3.4976,                 2.2008,               0.067011,             0.00033322,             0.00033322
                      1,                 1.1399,                0.56481,                 1.4004,                0.98077,                0.98031,                0.99226,                0.72012,                0.96307,                0.42722,                 1.3965,               0.033998,             0.00065335,             0.00065335
                      2,                 1.0992,                0.53025,                 1.3651,                0.97167,                0.94097,                0.97424,                0.68873,                 1.0418,                 0.6276,                 1.4413,             0.00097171,             0.00096029,             0.00096029
                      3,                 1.0547,                0.48732,                 1.3276,                0.98864,                0.99147,                0.99378,                0.75735,                0.89517,                0.35501,                 1.3269,              0.0009406,              0.0009406,              0.0009406
                      4,                 1.0294,                0.46175,                 1.3076,                0.98161,                0.99415,                0.99135,                0.74575,                0.87629,                0.36734,                  1.315,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0156,                0.44913,                 1.2973,                0.98781,                0.99395,                0.99271,                0.76107,                0.87058,                0.33044,                 1.3047,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.0077,                0.44111,                 1.2913,                0.99081,                0.99632,                0.99347,                0.76807,                0.87075,                0.31771,                 1.3028,               0.000901,               0.000901,               0.000901
                      7,                 1.0021,                0.43575,                 1.2856,                0.99135,                0.99556,                0.99339,                0.77204,                0.85835,                 0.3124,                 1.2961,              0.0008812,              0.0008812,              0.0008812
                      8,                0.99842,                0.43303,                 1.2847,                0.99228,                0.99531,                 0.9934,                0.77371,                0.85787,                0.31108,                 1.2951,              0.0008614,              0.0008614,              0.0008614
                      9,                 0.9937,                 0.4294,                 1.2797,                0.99274,                0.99531,                0.99347,                0.77467,                0.85786,                0.30934,                 1.2951,              0.0008416,              0.0008416,              0.0008416
